ClickBench cold/hot — Sun May 31 17:00:49 UTC 2026
Binary: /home/user/Columnar_Database/build-o3-native/clickbench/clickbench
Input:  src/TestFiles/output_16.mf

Query   | Cold (ms)    | Hot (ms)    
--------+--------------+-------------
0       | 16848.10     | 230.28      
1       | 512.31       | 518.20      
2       | 15234.00     | 491.99      
3       | 20637.40     | 1475.65     
4       | 2967.47      | 3087.49     
5       | 36239.50     | 7185.57     
6       | 8573.04      | 274.38      
7       | 662.06       | 667.15      
8       | 20528.20     | 4948.19     
9       | 5362.94      | 5730.06     
10      | 22590.90     | 1975.27     
11      | 12420.20     | 4528.20     
12      | 9119.43      | 9672.00     
13      | 12636.30     | 13266.30    
14      | 23040.00     | 9354.86     
15      | 10322.00     | 10656.70    
16      | 23781.60     | 25033.50    
17      | 24063.50     | 25504.80    
18      | 91860.90     | 73349.70    
19      | 723.29       | 728.93      
20      | 81696.70     | 8711.33     
21      | 10161.00     | 10250.30    
22      | 63550.80     | 13322.70    
23      | 260621.00    | 229619.00   
24      | 2746.90      | 2795.50     
25      | 2337.42      | 2366.13     
26      | 2733.68      | 2784.67     
27      | 8362.71      | 7390.19     
28      | 106390.00    | 79982.20    
29      | 11483.90     | 11283.00    
30      | 15783.00     | 9285.80     
31      | 20126.80     | 14402.50    
32      | 115011.00    | 114941.00   
33      | 52349.70     | 53472.00    
34      | 51900.00     | 53426.20    
35      | 16853.90     | 17022.60    
36      | 7935.53      | 6634.23     
37      | 14459.90     | 15700.70    
38      | 9170.49      | 7736.96     
39      | 42511.80     | 25637.20    
40      | 36127.70     | 21821.20    
41      | 16174.70     | 19970.30    
42      | 2111.63      | 2126.84     
--------+--------------+-------------
Geomean | 13851.38     | 7358.60     
Sum     | 1308723.40   | 929361.76   
Max     | 260621.00    | 229619.00   
